Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,2.990000,3.020000,2.870000,2.900000,2.900000,615000
2021-08-05,2.910000,2.960000,2.870000,2.910000,2.910000,284100
2021-08-06,2.950000,2.970000,2.890000,2.950000,2.950000,347700
2021-08-09,2.930000,2.970000,2.880000,2.950000,2.950000,418100
2021-08-10,2.770000,2.870000,2.690000,2.720000,2.720000,1625600
2021-08-11,2.720000,2.810000,2.690000,2.800000,2.800000,776700
2021-08-12,2.830000,2.840000,2.660000,2.670000,2.670000,763900
2021-08-13,2.700000,2.700000,2.480000,2.500000,2.500000,942800
2021-08-16,2.470000,2.530000,2.420000,2.510000,2.510000,611600
2021-08-17,2.470000,2.530000,2.430000,2.490000,2.490000,365400
2021-08-18,2.500000,2.540000,2.430000,2.460000,2.460000,542700
2021-08-19,2.460000,2.500000,2.360000,2.410000,2.410000,722300
2021-08-20,2.390000,2.480000,2.370000,2.460000,2.460000,412400
2021-08-23,2.490000,2.610000,2.440000,2.590000,2.590000,639600
2021-08-24,2.610000,2.740000,2.600000,2.700000,2.700000,442100
2021-08-25,2.730000,2.790000,2.700000,2.760000,2.760000,461700
2021-08-26,2.710000,2.820000,2.610000,2.630000,2.630000,555100
2021-08-27,2.670000,2.670000,2.540000,2.580000,2.580000,537400
2021-08-30,2.610000,2.610000,2.470000,2.530000,2.530000,641800
2021-08-31,2.530000,2.670000,2.520000,2.650000,2.650000,445200
2021-09-01,2.630000,2.680000,2.560000,2.610000,2.610000,440100
2021-09-02,2.640000,2.680000,2.590000,2.630000,2.630000,282500
2021-09-03,2.590000,2.680000,2.580000,2.630000,2.630000,613400
2021-09-07,2.630000,2.670000,2.550000,2.560000,2.560000,478300
2021-09-08,2.550000,2.560000,2.440000,2.480000,2.480000,480900
2021-09-09,2.460000,2.500000,2.440000,2.450000,2.450000,325900
2021-09-10,2.470000,2.500000,2.420000,2.430000,2.430000,238500
2021-09-13,2.430000,2.450000,2.370000,2.420000,2.420000,783700
2021-09-14,2.440000,2.440000,2.330000,2.370000,2.370000,652600
2021-09-15,2.380000,2.380000,2.150000,2.170000,2.170000,1671700
2021-09-16,2.160000,2.360000,2.160000,2.300000,2.300000,949300
2021-09-17,2.290000,2.430000,2.260000,2.430000,2.430000,963700
2021-09-20,2.340000,2.460000,2.320000,2.410000,2.410000,656900
2021-09-21,2.430000,2.430000,2.350000,2.380000,2.380000,340800
2021-09-22,2.360000,2.440000,2.360000,2.430000,2.430000,287200
2021-09-23,2.420000,2.560000,2.380000,2.490000,2.490000,492000
2021-09-24,2.440000,2.480000,2.400000,2.450000,2.450000,174500
2021-09-27,2.440000,2.660000,2.410000,2.530000,2.530000,411100
2021-09-28,2.490000,2.490000,2.420000,2.440000,2.440000,270700
2021-09-29,2.420000,2.480000,2.380000,2.460000,2.460000,365700
2021-09-30,2.460000,2.470000,2.370000,2.400000,2.400000,250500
2021-10-01,2.400000,2.420000,2.350000,2.370000,2.370000,201000
2021-10-04,2.350000,2.370000,2.290000,2.340000,2.340000,353600
2021-10-05,2.370000,2.420000,2.310000,2.370000,2.370000,303000
2021-10-06,2.340000,2.350000,2.300000,2.330000,2.330000,354500
2021-10-07,2.350000,2.410000,2.330000,2.360000,2.360000,583200
2021-10-08,2.340000,2.340000,2.290000,2.290000,2.290000,507900
2021-10-11,2.310000,2.340000,2.220000,2.230000,2.230000,291000
2021-10-12,2.210000,2.270000,2.210000,2.260000,2.260000,178000
2021-10-13,2.250000,2.390000,2.250000,2.380000,2.380000,152500
